date,material,news_summary,market_analysis,price_grade,delhi_price_rs_mt,mumbai_price_rs_mt,price_date,news_url
08 Jul 2026 06:30 IST,rPP,"[HIGHLIGHT - PP] Domestic prices of Ethylene Dichloride (EDC) China as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] Domestic prices of Ethylene Dichloride (EDC) China as of July 07, 2026 | Published: 08 Jul 2026 06:30 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496462/pp
08 Jul 2026 06:05 IST,rPP,"[HIGHLIGHT - PP] Domestic prices of Propylene China as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] Domestic prices of Propylene China as of July 07, 2026 | Published: 08 Jul 2026 06:05 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496457/pp
08 Jul 2026 04:40 IST,rPP,"[HIGHLIGHT - PP] China domestic producer prices of Polypropylene (PP) as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] China domestic producer prices of Polypropylene (PP) as of July 07, 2026 | Published: 08 Jul 2026 04:40 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496423/pp
07 Jul 2026 18:00 IST,rPP,[HIGHLIGHT - PP] Propylene prices hold steady in the United States,Category: PP | Title: [HIGHLIGHT - PP] Propylene prices hold steady in the United States | Published: 07 Jul 2026 18:00 IST,103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496414/pp
07 Jul 2026 17:40 IST,rPP,"[HIGHLIGHT - PP] SNAPSHOT: Mumbai market as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] SNAPSHOT: Mumbai market as of July 07, 2026 | Published: 07 Jul 2026 17:40 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496508/pp
07 Jul 2026 17:35 IST,rPP,"[HIGHLIGHT - PP] SNAPSHOT: Delhi market as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] SNAPSHOT: Delhi market as of July 07, 2026 | Published: 07 Jul 2026 17:35 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496509/pp
07 Jul 2026 17:20 IST,rPP,"[HIGHLIGHT - PP] SNAPSHOT: Ahmedabad market as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] SNAPSHOT: Ahmedabad market as of July 07, 2026 | Published: 07 Jul 2026 17:20 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496510/pp
07 Jul 2026 17:15 IST,rPP,"[HIGHLIGHT - PP] SNAPSHOT: Chennai market as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] SNAPSHOT: Chennai market as of July 07, 2026 | Published: 07 Jul 2026 17:15 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496511/pp
07 Jul 2026 17:12 IST,rPP,"[HIGHLIGHT - PP] SNAPSHOT: Kolkata market as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] SNAPSHOT: Kolkata market as of July 07, 2026 | Published: 07 Jul 2026 17:12 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496512/pp
07 Jul 2026 17:10 IST,rPP,"[HIGHLIGHT - PP] SNAPSHOT: Bangalore market as of July 07, 2026","Category: PP | Title: [HIGHLIGHT - PP] SNAPSHOT: Bangalore market as of July 07, 2026 | Published: 07 Jul 2026 17:10 IST",103X,137270,133540,"June 06 , 2026",https://www.polymerupdate.com/News/Details/1496513/pp
